year	i	full_name	gender	affiliation_ror	affiliation_url	affiliation_ccode	affiliation_cname
2019	e04cbb06a9c309fa40dc2d8bc65251d4	Brandon Prins	male	University of Tennessee at Knoxville	https://ror.org/020f3ap87	US	United States
2019	db22ada49c8f912af82350a8ddd7606a	Scott Gates	male	Peace Research Institute	https://ror.org/04dx54y73	NO	Norway
2019	e5639b07b2427145248a1911b57b5f0e	Debbie Lisle	female	Queen's University Belfast	https://ror.org/00hswnk62	GB	United Kingdom
2019	a1bf8987a256e81cb8dfc00919b2171a	Damien Bol	male	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
2019	eb2b0729a6a220faa6102d75fe3596bc	Ricardo Carvalho	male	Universidade Europeia	https://ror.org/04bcdt432	PT	Portugal
2019	b23dd9cf15405529cc8d416ad997e35c	André Walter	male	University of St. Gallen	https://ror.org/0561a3s31	CH	Switzerland
2019	ad4eb6cb5232363fe32ac07c6f2e649a	Shaun Bowler	male	University of California, Riverside	https://ror.org/03nawhv43	US	United States
2019	41b0d3c79d894b53e390c880dd6635ad	Daniel Biggers	male	University of California, Riverside	https://ror.org/03nawhv43	US	United States
2019	fce178cda05a56991df6317507a3549b	Gisela Sin	female	University of Illinois Urbana-Champaign	https://ror.org/047426m28	US	United States
2019	a5b71e21e14c8655cc3c5fbd2e6f7c0a	Keigo Tanabe	male	Texas A&M University	https://ror.org/01f5ytq51	US	United States
2019	dca832846bcc8e28a6453170f4dd2e3b	José Antonio Cheibub	male	Texas A&M University	https://ror.org/01f5ytq51	US	United States
2019	b92ccad715e151a5b8ccf7d1aeaad5e0	Thiago Moreira	male	Texas A&M University	https://ror.org/01f5ytq51	US	United States
2019	9caf451dc500e7b1166300eda9e62b4d	Haakon Gjerløw	male	University of Oslo	https://ror.org/01xtthb56	NO	Norway
2019	6b8097d99fbc59ae195d7596f103ff6e	Magnus Rasmussen	male	University of Oslo	https://ror.org/01xtthb56	NO	Norway
2019	e49b94c355c6cb8f73dbf0bb861d88ea	Magdelina Kitanova	female	University of Southampton	https://ror.org/01ryk1543	GB	United Kingdom
2019	34754765d4a95d943d7c42314303903e	Ferran M i Coma	male	Griffith University	https://ror.org/02sc3r913	AU	Australia
2019	92c8026f814514dc0bb3ad49f247ac97	Miquel Pellicer	male	University of Duisburg-Essen	https://ror.org/04mz5ra38	DE	Germany
2019	cf652622a59a21df59ff7b3fffcdf449	Mark Brockway	male	University of Notre Dame	https://ror.org/00mkhxb43	US	United States
2019	0ed5553a37f75689392ba889d6f32cae	Alexander Pacek	male	Texas A&M University	https://ror.org/01f5ytq51	US	United States
2019	880a474991570be4a008822af6852b88	Benjamin Radcliff	male	University of Notre Dame	https://ror.org/00mkhxb43	US	United States
2019	16b2993537db744672033af2d78b41b4	Eva Anduiza	female	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
