year	j	panel_ref	panel_track	panel_type	panel_title	panel_description	notes
2023	53446	PL15	Parties and Legislatures	Panel	Parliamentary Discipline	NA	NA
2023	53448	ME01	Political Methodology	Panel	Improving Inference and Interpretation in Quantitative Research	NA	NA
2023	53449	FT01	Formal Models	Panel	Elite Strategies in Authoritarian Regimes	NA	NA
2023	53455	PL01	Parties and Legislatures	Panel	Party Pledges in Comparative Perspective	NA	NA
2023	53458	PP06	Public Policy and Public Administration	Panel	Politicians, bureaucrats, and policies	NA	NA
2023	53462	PP04	Public Policy and Public Administration	Panel	Policy design and impact	NA	NA
2023	53463	PL16	Parties and Legislatures	Panel	Politicians' Backgrounds and Parliamentary Behaviour	NA	NA
2023	53465	IP13	International Political Economy & IOs	Panel	Governing International Organizations	NA	NA
2023	53476	PP05	Public Policy and Public Administration	Panel	Public servants and bureaucracy	NA	NA
2023	53484	EU11	European & EU Politics	Panel	Democratic backsliding and the EU's democratic deficit	NA	NA
2023	53485	IP09	International Political Economy & IOs	Panel	Public Opinion and Global Governance	NA	NA
2023	53487	IP08	International Political Economy & IOs	Panel	Developing Countries in Global Markets	NA	NA
2023	53488	PP07	Public Policy and Public Administration	Panel	AI, digitalization, and public policy	NA	NA
2023	53489	ME07	Political Methodology	Panel	Multilingual Text Analysis	NA	NA
2023	53490	PL06	Parties and Legislatures	Panel	Intra-Party Politics and Position-taking	NA	NA
2023	53491	IP07	International Political Economy & IOs	Panel	Multinational Corporations in the Global Economy	NA	NA
2023	53492	IP06	International Political Economy & IOs	Panel	Climate Policy and Cooperation	NA	NA
2023	53493	PL04	Parties and Legislatures	Panel	Candidate and MP Characteristics	NA	NA
2023	53495	ME03	Political Methodology	Panel	Advances in Conjoint Experiments	NA	NA
2023	53497	FT05	Formal Models	Panel	The Art of Political Competition	NA	NA
2023	53498	EU04	European & EU Politics	Panel	Influences on EU policy-making	NA	NA
2023	53499	EU05	European & EU Politics	Panel	EU environmental policy: together towards a greener Europe?	NA	NA
2023	53501	EU07	European & EU Politics	Panel	EU decision making: formal and informal policy negotiations	NA	NA
2023	53503	EU06	European & EU Politics	Panel	Who's your MEP? Representation by EU institutions	NA	NA
2023	53504	EU09	European & EU Politics	Panel	Policy preferences and representation in a multilevel setting	NA	NA
2023	53505	ME06	Political Methodology	Panel	Improving Survey Research Methods	NA	NA
2023	53506	ME05	Political Methodology	Panel	New Methods for Studying Party Behaviour and Competition	NA	NA
2023	53507	IP02	International Political Economy & IOs	Panel	Domestic Politics of IPE	NA	NA
2023	53508	IP03	International Political Economy & IOs	Panel	Politics of Foreign Aid and Development	NA	NA
2023	53509	IP04	International Political Economy & IOs	Panel	Global Climate Politics and Governance	NA	NA
2023	53512	PP02	Public Policy and Public Administration	Panel	State security through welfare and regulation	NA	NA
2023	53513	FT02	Formal Models	Panel	Formal Models of Conflict	NA	NA
2023	53514	FT03	Formal Models	Panel	Informational Strategies	NA	NA
2023	53515	FT04	Formal Models	Panel	Inefficient Policies and Bad Agents	NA	NA
2023	53517	PP03	Public Policy and Public Administration	Panel	Climate and Environmental Policy	NA	NA
2023	53520	IP05	International Political Economy & IOs	Panel	Democracy, Autocracy and the Liberal International Order	NA	NA
2023	53522	PL13	Parties and Legislatures	Panel	Populism and Polarisation	NA	NA
2023	53523	PL14	Parties and Legislatures	Panel	Politics of the European Parliament	NA	NA
2023	53524	EU08	European & EU Politics	Panel	The EU legislative process: inter and intra institutional bargaining	NA	NA
2023	53525	IP10	International Political Economy & IOs	Panel	International Economic Governance	NA	NA
2023	53526	PP01	Public Policy and Public Administration	Panel	Support for policies about vaccines and refugees	NA	NA
2023	53531	ME09	Political Methodology	Panel	Topics in Causal Inference	NA	NA
2023	53532	ME08	Political Methodology	Panel	New Developments in Text Analysis	NA	NA
2023	53533	EU10	European & EU Politics	Panel	Regional, national and supranational politics within the EU	NA	NA
2023	53541	PL02	Parties and Legislatures	Panel	Coalition Politics	NA	NA
2023	53545	PC01	Political Communication	Panel	Online Incivility and Abuse	NA	NA
2023	53549	PL08	Parties and Legislatures	Panel	Small Parties and Electoral Competition	NA	NA
2023	53550	PL11	Parties and Legislatures	Panel	Parties and Elites in non-Democracies I	NA	NA
2023	53551	PC12	Political Communication	Panel	Group Appeals	NA	NA
2023	53552	PC02	Political Communication	Panel	Political Rhetoric and Party Competition	NA	NA
2023	53553	ME04	Political Methodology	Panel	Measuring Political Preferences and Attitudes	NA	NA
2023	53554	PC03	Political Communication	Panel	Media Control in Authoritarian Systems	NA	NA
2023	53556	PC04	Political Communication	Panel	Content Moderation	NA	NA
2023	53557	PC05	Political Communication	Panel	I've been Framed!	NA	NA
2023	53559	GD01	Gender Politics and Diversity	Panel	Evaluations and vote choice of candidates from diverse backgrounds	NA	NA
2023	53560	PC10	Political Communication	Panel	Polarisation and Political Communication	NA	NA
2023	53561	CP07	Comparative Politics	Panel	Trust and Protest	NA	NA
2023	53563	GD11	Gender Politics and Diversity	Panel	Violence towards women and minoritised groups	NA	NA
2023	53564	PC13	Political Communication	Panel	Social Media Experiments	NA	NA
2023	53569	PC14	Political Communication	Panel	Survey Experiments in Political Communication	NA	NA
2023	53579	CP09	Comparative Politics	Panel	Populism in a comparative perspective	NA	NA
2023	53581	PL09	Parties and Legislatures	Panel	Party Competition and Electoral Strategy	NA	NA
2023	53583	GD02	Gender Politics and Diversity	Panel	Gendered representation in non-elected positions	NA	NA
2023	53584	PL07	Parties and Legislatures	Panel	Radical Right Parties and Electoral Competition	NA	NA
2023	53586	PC11	Political Communication	Panel	Populist Political Communication	NA	NA
2023	53587	PC09	Political Communication	Panel	Visitor Disinformation Centre	NA	NA
2023	53588	IP11	International Political Economy & IOs	Panel	Micro-foundations of Trade and Migration	NA	NA
2023	53591	PC07	Political Communication	Panel	MSM Slant and Bias	NA	NA
2023	53592	CP11	Comparative Politics	Panel	Participation and Inclusion	NA	NA
2023	53597	PL05	Parties and Legislatures	Panel	Candidate Selection and Nomination	NA	NA
2023	53601	PC06	Political Communication	Panel	Elite Cues and Agenda Control	NA	NA
2023	53603	GD04	Gender Politics and Diversity	Panel	Gender and representation in speeches	NA	NA
2023	53607	IP12	International Political Economy & IOs	Panel	The International Political Economy of Global Health	NA	NA
2023	53608	GD10	Gender Politics and Diversity	Panel	Diversity and Conflict	NA	NA
2023	53610	GD12	Gender Politics and Diversity	Panel	Framing feminism and gender policies	NA	NA
2023	53611	CP06	Comparative Politics	Panel	Assessing democracies & dictatorships	NA	NA
2023	53612	GD03	Gender Politics and Diversity	Panel	Obstacles and opportunities to diversity in representation	NA	NA
2023	53613	CP10	Comparative Politics	Panel	Refugees and voters	NA	NA
2023	53620	CP12	Comparative Politics	Panel	Regime transitions	NA	NA
2023	53625	PL12	Parties and Legislatures	Panel	Parliamentary Professionalism	NA	NA
2023	53633	PL03	Parties and Legislatures	Panel	Candidates and Congruence	NA	NA
2023	70539	ME02	Political Methodology	Panel	New Ideas for Dynamic (and Spatial) Analysis	NA	NA
2023	70561	EU01	European & EU Politics	Panel	Varieties of solidarity in Europe: from fiscal redistribution to the migration crisis	NA	NA
2023	70562	EU02	European & EU Politics	Panel	Love or hate: public opinion and the EU	NA	NA
2023	70564	EU03	European & EU Politics	Panel	EU integration: meaning, rhetoric and policy implementation	NA	NA
2023	70565	IP01	International Political Economy & IOs	Panel	Challenges and Opportunities of Porous Borders	NA	NA
2023	70566	GD09	Gender Politics and Diversity	Panel	Links between formalistic, descriptive, substantive, and symbolic representation	NA	NA
