year	i	full_name	gender	affiliation_ror	affiliation_url	affiliation_ccode	affiliation_cname
2022	87f3add69454d308b8685210f2f8a970	Tobias Widmann	male	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
2022	effd70ff665597b3106b8973ff3ac305	Kristina Bakkær Simonsen	female	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
2022	1692aed22537a077c0f1639e5c576ad5	Anna van Vree	female	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
2022	d716a811dbfdd90d9119ff2c67bcad2c	Sophia Hunger	female	Social Science Research Center Berlin	https://ror.org/03k0z2z93	DE	Germany
2022	9cec683d5e12e0ff5aa640a763bd9415	Theresa Gessler	female	University of Zurich	https://ror.org/02crff812	CH	Switzerland
2022	ca408a00a0b8d142814d42a4a072ac37	Valentin Berger	male	University of Bamberg	https://ror.org/01c1w6d29	DE	Germany
2022	51eb40b502063e81c1d52a69beadc621	Arndt Leininger	male	Chemnitz University of Technology	https://ror.org/00a208s56	DE	Germany
2022	69afb38105045a1674e4bda90f50ff29	Corinna Kroeber	female	University of Greifswald	https://ror.org/00r1edq15	DE	Germany
2022	153cca9908ca76c5bf0ad4136c876ab1	Andreas Küpfer	male	University of Mannheim	https://ror.org/031bsb921	DE	Germany
2022	7ec8b2474fff210a68cc18341fa7d622	Denis Cohen	male	University of Mannheim	https://ror.org/031bsb921	DE	Germany
2022	8dafd3eb9c68a5d1d842c15a2b118644	Jochen Rehmert	male	University of Zurich	https://ror.org/02crff812	CH	Switzerland
2022	70fd180f346025a6b3c99dba050e21ad	Nicholas Carnes	male	Duke University	https://ror.org/00py81415	US	United States
2022	227d6351ccf53de850a388a47004a963	Noam Lupu	male	Vanderbilt University	https://ror.org/02vm5rt34	US	United States
2022	14af94f7d0527c496be26d19d5c57711	Sergio Ascencio	male	University of Essex	https://ror.org/02nkf1q06	GB	United Kingdom
2022	3bf4f9ab5c34d3d78f51c47e0a223472	Tilko Swalve	male	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
2022	fa06ac389e1eff6071af5c795adf5611	Tim Allinger	male	University of Mannheim	https://ror.org/031bsb921	DE	Germany
2022	c5a8739e769dbe178c29dfc756240b9e	Vytautas Kuokštis	male	Vilnius University	https://ror.org/03nadee84	LT	Lithuania
2022	d3766795cea07cd9bd20d7e7ad14e3c2	Irene Menéndez González	female	IE University	https://ror.org/02jjdwm75	ES	Spain
2022	3bc21d998aed1481464a8c8e75927adc	Alessia Aspide	female	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
2022	8777b1d6f20eb78810bbb506421650c3	Alexander Kuo	male	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
2022	1b5748e4c2bd21f078c8ae8d78ddcbad	Florian Hollenbach	male	University of Houston	https://ror.org/048sx0r50	US	United States
2022	99bc11ebf5ced6de5e42552ce3f9f555	Ignacio Jurado	male	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
2022	6643de6cfbfebcf7825a2959cc454273	Jessica Gottlieb	female	Copenhagen Business School	https://ror.org/04sppb023	DK	Denmark
2022	2b39e055ba2134267f081b4bd97f8432	Kathleen Brown	female	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
2022	22521bbef1a2c0e7f3fbf5ee28cbd76b	Matthew DiGiuseppe	male	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
2022	0b64c0dddc59dc8388024b0a7c8fca9c	Patrick Shea	male	University of Houston	https://ror.org/048sx0r50	US	United States
2022	1fd74c1f0297f9e918cae69c323dd5e9	Thiago Moreira	male	Texas A&M University	https://ror.org/01f5ytq51	US	United States
2022	05c6a2bb0e2211bf481ffb792b84308f	Yacine Allam	male	Université Bourgogne Franche-Comté	https://ror.org/02dn7x778	FR	France
2022	758c68714949418fc3a91ddac7ca9d7a	Felipe Ignacio Torres Raposo	male	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
2022	b776995d1d096690477aa8402214aeeb	Aina Gallego	female	University of Barcelona	https://ror.org/021018s57	ES	Spain
2022	ede0f1eaef445505d3631960cf3cde06	David Sebudubudu	male	University of Botswana	https://ror.org/01encsj80	BW	Botswana
2022	93d8fee017778665bca8df7ea42f5a10	Guillem Amatller Dómine	male	Pompeu Fabra University	https://ror.org/04n0g0b29	ES	Spain
2022	382302f6fb5934ff92ca003ce970f6f0	Matthias Haslberger	male	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
2022	5dac03bb843bf5191782362d677ac4ea	Sebastian Ziaja	male	GESIS - Leibniz-Institute for the Social Sciences	https://ror.org/018afyw53	DE	Germany
2022	ddbb96548ff6187c37a314d9dafd83aa	Šimon Trlifaj	male	Central European University	https://ror.org/02zx40v98	AT	Austria
2022	26627c66c6288b7182a445c858798074	Nestor Castaneda	male	University College London	https://ror.org/02jx3x895	GB	United Kingdom
2022	0ee203de106a0dd3f1239837912fe260	Patrícia Calca	female	Iscte – Instituto Universitário de Lisboa	https://ror.org/014837179	PT	Portugal
2022	01745b60aee8d90565780f66e7360c6f	Ana Isabel López García	female	Maastricht University	https://ror.org/02jz4aj89	NL	Netherlands
2022	feede6b67300ccc9b007036d9c35f668	Andrew Philips	male	University of Colorado Boulder	https://ror.org/02ttsq026	US	United States
2022	26bd489f90c3f6c2f7edae56833a96da	Barry Maydom	male	Birkbeck, University of London	https://ror.org/02mb95055	GB	United Kingdom
2022	ca87fd85bc88296711a2908355a6a564	Julian Bank	male	University of Duisburg-Essen	https://ror.org/04mz5ra38	DE	Germany
2022	37d35ddeb2440709c533074c47284256	Mallory Compton	female	Texas A&M University	https://ror.org/01f5ytq51	US	United States
2022	00740c190e0e41552e2536b2d1cbd511	Massimo Pulejo	male	New York University	https://ror.org/0190ak572	US	United States
2022	d253ce7b89766c5d0b730e739f1cf08a	Paul Marx	male	University of Duisburg-Essen	https://ror.org/04mz5ra38	DE	Germany
2022	d0f2603668d290861a4d47ac387e90a3	Sarah Berens	female	Universität Innsbruck	https://ror.org/054pv6659	AT	Austria
2022	28306c48245c1d1f6b3f2278c3a27f11	Sirianne Dahlum	female	University of Oslo	https://ror.org/01xtthb56	NO	Norway
2022	03b827f519f3867a11b0a88f30555747	Laura Bronner	female	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
2022	41565cb42b13dfcfe42dc77ed64ebf91	Claudia Mayordomo Zapata	female	University of Murcia	https://ror.org/03p3aeb86	ES	Spain
2022	c06c78089647a84a149aa3b0db592549	Jakub Tesař	male	Charles University	https://ror.org/024d6js02	CZ	Czechia
2022	b85bfd759d3110f0c9e8cf9d7776bf56	José Miguel Rojo Martínez	male	University of Murcia	https://ror.org/03p3aeb86	ES	Spain
2022	860b11343c806d27af921c4cd981e70b	Lucy Barnes	female	University College London	https://ror.org/02jx3x895	GB	United Kingdom
2022	919e99b8d8f248d66170a528a638fd77	Michal Parizek	male	Charles University	https://ror.org/024d6js02	CZ	Czechia
2022	dcd8e0da06af9f4a15cb61629fbbe941	Musashi Harukawa	male	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
2022	70075ed5d789dcc95c6a1bf57e816e60	Samuel Frederick	male	Columbia University	https://ror.org/00hj8s172	US	United States
2022	3bea57f84ab98ca1aee761933e62e77d	Carl Müller-Crepon	male	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
2022	783b5ca82912629a25f9b21867cf2fc8	Andreas Juon	male	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
2022	288bd6046bd57c339874d7ee4756ba40	Felix Roesel	male	Technical University of Berlin	https://ror.org/03v4gjf40	DE	Germany
2022	f62ac85aefb26ac0e26c35db6bcf7761	Ivan Pepic	male	University of Geneva	https://ror.org/01swzsf04	CH	Switzerland
2022	66fd9433cb92d308be25f37e47b93657	Jakub Grossmann	male	Center for Economic Research and Graduate Education – Economics Institute	https://ror.org/0362ttz08	CZ	Czechia
2022	7b23f3e97ff4fae59b74e9d3d87d564b	Stepan Jurajda	male	Center for Economic Research and Graduate Education – Economics Institute	https://ror.org/0362ttz08	CZ	Czechia
2022	17b240b63729ac180d733f5ed2a10fb9	Sukayna Younger-Khan	female	Social Science Research Center Berlin	https://ror.org/03k0z2z93	DE	Germany
2022	59b19a2684c0d46b5022f80f64a80b88	Moritz Osnabrügge	male	Durham University	https://ror.org/01v29qb04	GB	United Kingdom
2022	8b187523e2397084e0010507784c6dd6	A. Maurits van der Veen	male	William & Mary	https://ror.org/03hsf0573	US	United States
2022	2de6e1105bc58231d3df6b922d5fe801	Aleksandra Khokhlova	female	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
2022	6ffb405ec25f9699bd59ad1df08de41e	Anastasia Ershova	female	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
2022	a31287f0ddab3254d21c4fc5b92b7089	Eleanor Knott	female	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
2022	07b336f5b4a1366ee391b2e174764702	Fabio Franchino	male	University of Milan	https://ror.org/00wjc7c48	IT	Italy
2022	a9f2a0d221e4bc2fe5433b4ce24108c7	Giovanni Pagano	male	University of Milan	https://ror.org/00wjc7c48	IT	Italy
2022	db07e4935704166cf6f0e58e3067e8ce	Jan Mazač	male	Charles University	https://ror.org/024d6js02	CZ	Czechia
2022	f2e26f77c2a882d3480d3f0ed997e2b3	Marta Migliorati	female	European University Institute	https://ror.org/0031wrj91	IT	Italy
2022	848d93302f7505703f6f134c04e40543	Nikoleta Yordanova	female	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
2022	e796fcccda8491cf3964d1a791974e6e	Valerio Vignoli	male	University of Milan	https://ror.org/00wjc7c48	IT	Italy
2022	40fa0f477c9f931280e2205b04073840	Kirill Zhirkov	male	University of Virginia	https://ror.org/0153tk833	US	United States
2022	7760407f24619d1649b3ed78527f1132	Olga Gasparyan	female	Hertie School	https://ror.org/0473a4773	DE	Germany
2022	d08b807417a779aa37b4536954ad7b46	Cristina Monzer	female	Norwegian University of Science and Technology	https://ror.org/05xg72x27	NO	Norway
2022	5e2f80e2a28e2c7ff60e659117f256f5	Elena Sirotkina	female	University of North Carolina at Chapel Hill	https://ror.org/0130frc33	US	United States
2022	20fe54d89484838b9f7a097d997f8831	Franziska Pradel	female	Technical University of Munich	https://ror.org/02kkvpp62	DE	Germany
2022	297d01f193d2d848cd87664a7e76f855	Jan Zilinsky	male	Technical University of Munich	https://ror.org/02kkvpp62	DE	Germany
2022	4a90b56b1a91b5fa4b80710242007182	Michelle Torres	female	Rice University	https://ror.org/008zs3103	US	United States
2022	c4291868bed8c59321b1ec5713153105	Spyros Kosmidis	male	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
2022	f14ede9a6bd4041368d482a7051a68a1	Stefan Geiss	male	Norwegian University of Science and Technology	https://ror.org/05xg72x27	NO	Norway
