year	i	j	role
2019	e04cbb06a9c309fa40dc2d8bc65251d4	4823	c
2019	db22ada49c8f912af82350a8ddd7606a	4823	d
2019	e5639b07b2427145248a1911b57b5f0e	4823	p
2019	a1bf8987a256e81cb8dfc00919b2171a	4555	c
2019	a1bf8987a256e81cb8dfc00919b2171a	4555	d
2019	eb2b0729a6a220faa6102d75fe3596bc	4555	p
2019	b23dd9cf15405529cc8d416ad997e35c	4555	p
2019	ad4eb6cb5232363fe32ac07c6f2e649a	4555	p
2019	41b0d3c79d894b53e390c880dd6635ad	4555	p
2019	fce178cda05a56991df6317507a3549b	4555	p
2019	a5b71e21e14c8655cc3c5fbd2e6f7c0a	4555	p
2019	dca832846bcc8e28a6453170f4dd2e3b	4555	p
2019	b92ccad715e151a5b8ccf7d1aeaad5e0	4555	p
2019	9caf451dc500e7b1166300eda9e62b4d	4555	p
2019	6b8097d99fbc59ae195d7596f103ff6e	4555	p
2019	e49b94c355c6cb8f73dbf0bb861d88ea	4538	c
2019	34754765d4a95d943d7c42314303903e	4538	d
2019	92c8026f814514dc0bb3ad49f247ac97	4538	p
2019	cf652622a59a21df59ff7b3fffcdf449	4538	p
2019	0ed5553a37f75689392ba889d6f32cae	4538	p
2019	880a474991570be4a008822af6852b88	4538	p
2019	16b2993537db744672033af2d78b41b4	4538	p
2019	1ae830acc36cabc86c17c365ac6369a8	4538	p
2019	d7e2d78d1e09dfc3e7509dde174ad1af	4538	p
2019	bfdc506f5d68a93c3cf46a07f826b974	4538	p
2019	7da12d6e997d50ee4faac033415d7d4a	4538	p
2019	5c75c597b3a311586b94b3c88586d6ae	4538	p
2019	50ed39f13814d9f3ec7d7a7f0c2d31da	4537	c
2019	a1bf8987a256e81cb8dfc00919b2171a	4537	d
2019	bef291d1e305ea922d48852e2826be84	4537	p
2019	61e93db7dc82efa08eb0fe0cfd264c51	4537	p
2019	0c64b9ec861eafcd6c561650e9750943	4537	p
2019	6757bca19f70b823a08dc38b93c40cbe	4537	p
2019	dd4663ddf8342103499744d26c18f861	4537	p
2019	e576046df07daec9b588cc22d24160bd	4536	c
2019	f88ba0a2602a5a648e68536ef07417c3	4536	d
2019	0f7cc89bdd89ff49f71e6f44491c82ba	4536	p
2019	8104a04668eea803b1afc4b5fbedf4f2	4536	p
2019	6c5f559e2452b66fbc3c47b23d87f38d	4536	p
2019	f6a3d40e2f354dd4b4d24f4614ff7362	4536	p
2019	74ba4249bd671875463199a4c45c223c	4536	p
2019	e1a9d1d60b7ee481a22cfb5e2f7e2669	4536	p
2019	69485242d05441dad305a39783abaf7e	4536	p
2019	f6a3d40e2f354dd4b4d24f4614ff7362	4536	p
2019	4840da4b97ef279fca20b2051e818017	4536	p
2019	e07a249e52c449f2693023af05846e22	4536	p
2019	8104a04668eea803b1afc4b5fbedf4f2	4536	p
2019	6c5f559e2452b66fbc3c47b23d87f38d	4536	p
2019	f6a3d40e2f354dd4b4d24f4614ff7362	4536	p
2019	707e6dfe6a26fd3a18a2e9907aa28893	4519	c
2019	80e729a42f7378258813d68b35e7ff29	4519	d
2019	fc47b42fa78bdb669a5801aa5d6e461e	4519	p
2019	787debbc06212267c4b85f75ad782e9a	4519	p
2019	0be1c588a6ff70043dc9640c9dde3a90	4519	p
2019	9caf451dc500e7b1166300eda9e62b4d	4519	p
2019	57a140b766e4d8567170bd5736e3d397	4428	c
2019	682d1b9375d9937c4634882b090cf244	4428	d
2019	57a140b766e4d8567170bd5736e3d397	4428	p
2019	23ddd883b75a8f93c7ad981e0a3f3a9d	4428	p
2019	b49bfdf08837a06100cb4ab83aa74bc4	4428	p
2019	a6ea175077e5c31a163dabb32baf0bd2	4428	p
2019	c8c961392b1ae5e3670f292ffc08b2c8	4428	p
2019	6a33835e50bef4545868f7df7604fc40	4427	c
2019	c9b9fcd5dc7336754668b1bf13909a40	4427	d
2019	c9b9fcd5dc7336754668b1bf13909a40	4427	p
2019	731b1e7c65c63a3a4da223c24e385aeb	4427	p
2019	813ac2373c0d0d9d1238b826ccb1e3cd	4427	p
2019	d68cb312449c3d081e74f6668609a582	4427	p
2019	c31303fb97b3822a41d37b8562083505	4427	p
2019	6a33835e50bef4545868f7df7604fc40	4427	p
2019	6c490733351a41f4fb8a436936c56889	4427	p
2019	970dbe6be5fc899b1b7624ef3bbe7e4e	4426	c
2019	a7c2225c299b21fd4490d27dec0c58fb	4426	d
2019	a7c2225c299b21fd4490d27dec0c58fb	4426	p
2019	30c71d42b6c9c16ae509323e61e3c503	4426	p
2019	db22ada49c8f912af82350a8ddd7606a	4426	p
2019	167fa57ef9c1f5162c026da5c3ba49ed	4426	p
2019	57e28093cf1057d60714feb8c626c705	4426	p
2019	707e6dfe6a26fd3a18a2e9907aa28893	4426	p
2019	8e2faeb85bae4ae9039ba98a65de737c	4426	p
2019	8be8a18492d2ae000b2a6a134b031bf7	4426	p
2019	7a3ece2c5da9edca47b8ee2b50c52566	4426	p
2019	167fa57ef9c1f5162c026da5c3ba49ed	4426	p
2019	3026ce091880076ff7363d1190d12683	4425	c
2019	925018a948fc96402045b42d5d71533b	4425	d
2019	936c5fcece1aa474145c7f89ba46a96d	4425	p
2019	3026ce091880076ff7363d1190d12683	4425	p
2019	051e9c344cb7dc09a3ec1a4b40747067	4425	p
2019	84982863d942b2dfd23c72fd63981311	4425	p
2019	7e20f3578278cf59e4b21c454a7906d7	4425	p
2019	995281ac723a2b4f715275e32f7a1522	4425	p
2019	995281ac723a2b4f715275e32f7a1522	4425	p
2019	ccaa438a9b2b7347607dc968ec46366e	4425	p
2019	50161b1cc19d1f8681ddeec50f563072	4425	p
2019	4c5d187b6106a7d3e34482f44512832a	4425	p
2019	0f2edc3e3736a869b2e49f0892ec30c8	4425	p
2019	cf514faac9adbce38fb6ec3e34cb0b4f	4424	c
2019	cf514faac9adbce38fb6ec3e34cb0b4f	4424	d
2019	ee890d1ab1d60e59d10356c3bb93d466	4424	p
2019	92c8026f814514dc0bb3ad49f247ac97	4424	p
2019	ee890d1ab1d60e59d10356c3bb93d466	4424	p
2019	161a44917df8fbdaf8c0ca9a3313c5e3	4424	p
2019	92c8026f814514dc0bb3ad49f247ac97	4424	p
2019	204a99cf84683e4ef3ab51885555901e	4424	p
2019	0e6841a357a786b3cbbf91d2592e3385	4424	p
2019	14f14dc15a235f2ef4aa45c734e9ffef	4423	c
2019	14f14dc15a235f2ef4aa45c734e9ffef	4423	d
2019	f1d3d195333aac13c53f305f5f4ed3fe	4423	p
2019	f2ae32c8785c2465b4bf74c6c7092b41	4423	p
2019	db0878fc250f605a97915559d2e9e94e	4423	p
2019	2a77aa0c312c3935328ca370f96d84c1	4423	p
2019	6f93093fd8e3b23cd565bfe1c17f552c	4423	p
2019	f2b2688a22a27cefd014a91d5a579ba7	4423	p
2019	cf514faac9adbce38fb6ec3e34cb0b4f	4423	p
2019	d6b9625d8d3a59ecedd5558ea9ef3821	4423	p
2019	f9ad083bc621dee0485bb1b6ab383995	4423	p
2019	599bcbcdd96d193d4833a6191ac43c88	4423	p
2019	1d1b6c5675cfcd06701fe8572f5f2bfc	4422	c
2019	1d1b6c5675cfcd06701fe8572f5f2bfc	4422	d
2019	cd34b9d5fca98e265d363a1966c2975d	4422	p
2019	4efc9d5f87d1c874f823271d9cf06a6d	4422	p
2019	fab683b4867d7f2be229582b765cd261	4422	p
2019	dde436caa2683129a454beeb8a094ed9	4422	p
2019	bfb549bacb5be9b1a0f4d577bfeb01f8	4422	p
2019	3c922eb8f98f3f61ce7628a0e66b228a	4422	p
2019	a39e7e230c667b251f0fc85749a408fa	4422	p
2019	eebd4f0009893f45fab1a4b4ded0d243	4421	c
2019	4efc9d5f87d1c874f823271d9cf06a6d	4421	d
2019	aee282e7298295565c3e03a4c56f6891	4421	p
2019	5daa759d284437ed0b8b84e238a87091	4421	p
2019	f2a0c0d9064eb520510d2c8e8bb8c910	4421	p
2019	aee282e7298295565c3e03a4c56f6891	4421	p
2019	b5764c3f8dd2c45549f7066077f34a87	4421	p
2019	92e544a007ff9096ccc1ef74a2c3d198	4421	p
2019	f150c444162b4c376d33d3209aba1346	4421	p
2019	efefcb13d5984a56572919e0cb1dcd46	4421	p
2019	0a8af75dae4f07683fe9a7d7c65b6822	4421	p
2019	6d510a85b16c8ae0f59f60fc0d8d2b12	4420	c
2019	aa707512ba79856acd25967444123a6b	4420	d
2019	f0be18b8d84d985579319674837e7ba8	4420	p
2019	519ec93c639b3243e65bf5d23ca55382	4420	p
2019	4f959db66731afabe7277ce9201ff5d9	4420	p
2019	e37905142035f92b7ef3c9c174724dbd	4420	p
2019	a883b7fe1068caf559be54e3efdc387c	4420	p
2019	969c7edb2e15e1c50cdb5af1a010ae1e	4420	p
2019	b4bbff297071c330e935fccc92532c56	4420	p
2019	3e78fc401b718fd0704bed19279c42c0	4420	p
2019	64a1689f903cf1db4549f76bfaa0bdd7	4420	p
2019	e57234786e4218683499d1cb9ed05e09	4419	c
2019	d455cd01df2db8304ae30a4de8fcb543	4419	d
2019	78642e0c81021d4b2b46d008e6c225b2	4419	p
2019	25924382fecd9f82ff4b733f8d1c7aa8	4419	p
2019	deea1e54e0043cf0607e370ea6845843	4419	p
2019	c6b34d5a3d11473ab83b753ea5d3a817	4419	p
2019	c31303fb97b3822a41d37b8562083505	4419	p
2019	6a33835e50bef4545868f7df7604fc40	4419	p
2019	c8ff01e2c7624225fa13d90e448c3b51	4419	p
2019	0c5a4474fa22d5105939264d5019e287	4419	p
2019	2048321e578f76bba856405e4ca4eaf5	4419	p
2019	82c228cf525a66267ea3ee03e509e729	4418	c
2019	bfd7ca02b7d8f276505b59f57b11a3b8	4418	d
2019	ba68fc3ce9bd7ecefe7a04a980b0fdd4	4418	p
2019	279a2ca35d35d55da09fdc50c22e188c	4418	p
2019	1db81307cf73898dc016734975cd65d3	4418	p
2019	23d4d83900849ba10fcf2a1c866131fe	4418	p
2019	01c42d5a115d9d8d9d0b4cdae94a2b40	4418	p
2019	5393b8cb015bd27b66a1cfc76c1985b5	4418	p
2019	167fa57ef9c1f5162c026da5c3ba49ed	4418	p
2019	57e28093cf1057d60714feb8c626c705	4418	p
2019	f5c964a56dace67519a8f09933616785	4418	p
2019	657f6142d28d259328c2515fb95f556e	4418	p
2019	3fb927be2c39d0c883d303d22273f441	4417	c
2019	35fa3c6efc4f4089290487be44105411	4417	d
2019	d40aa16597d1c4cf7f4fa1f90988dd1c	4417	p
2019	35b69ef958f3addd2df8fb32f257e0f6	4417	p
2019	b864cf9f2f357b76367470bd7598b9b2	4417	p
2019	9aa37e2380e74d8c3e351edf9d88c3b5	4417	p
2019	6d6826ee1f434dcc56d163ca5804dade	4417	p
2019	aeb1bb6431bb9b0cccf29347a5d5af48	4417	p
2019	63674d9efec42650b851ae059b691692	4417	p
2019	cce60d2f18ad02f638cecb2e1b1eacd4	4417	p
2019	dd4663ddf8342103499744d26c18f861	4417	p
2019	35fa3c6efc4f4089290487be44105411	4417	p
2019	8420d5c6b0a47b1506668cba70647b8a	4417	p
2019	ad844a48fe2b4efb7725f241685fa820	4417	p
2019	995281ac723a2b4f715275e32f7a1522	4416	c
2019	386c2ce9b0bb2bcddd724791dafbdda8	4416	d
2019	e07a249e52c449f2693023af05846e22	4416	p
2019	5a2248a0c7c415fb1d8e17821ea83f5b	4416	p
2019	a3fd53db5c380a7ca3a88e764005af4b	4416	p
2019	cc0029e73529be745ce3aae455a54245	4416	p
2019	1aac4c25e9df5fd9035b3bedb10673b1	4416	p
2019	5e846b4c1aa9cec374b3b8bd76cfe140	4416	p
2019	68dacd1a82f881b5ae1a4ebde1cd6661	4416	p
2019	fdd4a74956fcc213affb624d6f3f1910	4415	c
2019	acab507ac8a498e9254e7ced41e5c4a2	4415	d
2019	8c8f98346b902e8bf882545004ac3ffd	4415	p
2019	afa55315cae4ac47a8df2c7e4a107155	4415	p
2019	62e2e1c13d00accdca892eced01d74c2	4415	p
2019	38e726f77d8918890769621bf6e34c21	4415	p
2019	782dbea3480f2c6f5f7bc44b8f44d8e5	4415	p
2019	dd4663ddf8342103499744d26c18f861	4415	p
2019	f4c01f79ff6fe9fe24c4dcc586730f78	4415	p
2019	254b59a8364c4285a05a3bceb2d175c8	4415	p
2019	ab7028b8b3c726d39ad7868480bf96cf	4415	p
2019	92e544a007ff9096ccc1ef74a2c3d198	4414	c
2019	82c228cf525a66267ea3ee03e509e729	4414	d
2019	a180b2147560e8c1ec6ecb6de1693ea9	4414	p
2019	2ab23fdbd4f9bae2a9814329e5a20704	4414	p
2019	ac98513dc26d78c45dad44fc87b49234	4414	p
2019	d8d2d3d30c6f24a978ce0fc1f03cf447	4414	p
2019	fb0563800f19a8b914f6a14a1df91956	4414	p
2019	ee1696968504c005a09a087619a1d937	4414	p
2019	3618721fd16309714db1e6f1b7b34405	4413	c
2019	2b211b39d3c10b63df27424f8943d588	4413	p
2019	9e92706a5d2d1940cb7a6e2bac83fcbc	4413	p
2019	4b83f8e8137497e25b92dd8924440101	4413	p
2019	2f1c2928b59a83aff8474b1f3c3de5b0	4413	p
2019	9df6c759d52a1ee166097baa51901430	4413	p
2019	9978d228a4b260a16b19a06f7f3623a7	4413	p
2019	0d39f5de426fc225cdb232f584bde923	4413	p
2019	d2707818e12738eaa89ca189615cf480	4413	p
2019	9e92706a5d2d1940cb7a6e2bac83fcbc	4412	c
2019	42f641a22af1e170dc91a3368a9ff751	4412	d
2019	42f641a22af1e170dc91a3368a9ff751	4412	p
2019	e047e4e5d4daab73bf0380c883852f40	4412	p
2019	71c7e8fcd3252947a587f852976fa9b6	4412	p
2019	8c982264b4d7fa3bd0946920729dbe34	4412	p
2019	3c4eae4d5bce4dc0650fea70ae4c9f57	4412	p
2019	e881195e1caa72871012e8fe73b106b4	4412	p
2019	645759e95d8ae0e777520c9161197f6d	4412	p
2019	b2be2bcdcb52e775064622481e972a67	4412	p
2019	db22ada49c8f912af82350a8ddd7606a	4412	p
2019	6afff59bd432cf99c3f8aa5ad75295be	4412	p
2019	8e9f00b90e95a6e95695d960fd6bfaea	4411	c
2019	a70e808080d6dc2eba14f514d4359131	4411	d
2019	70f4bfc445f3e937b09f47c533503e9a	4411	p
2019	68afc1738222a731f892b6552584c1fc	4411	p
2019	cfff56c5db2601c949216df030f43955	4411	p
2019	71f49f83901e640fa5d7799603c76f5e	4411	p
2019	f8a357aa719f5a55a04f8833484577a3	4411	p
2019	3e135085bca34e086718a877b4303977	4411	p
2019	36aaae1b82524e512e711a5087bfed77	4411	p
2019	3417a3ed49b63cbd09d691ec59f5ddca	4411	p
2019	e5bc556a4b2b4a273e0fa4bcbc47cd4f	4411	p
2019	0d39f5de426fc225cdb232f584bde923	4411	p
2019	34ca22feeeae281ea473a3631f3bd2f4	4410	c
2019	f8a357aa719f5a55a04f8833484577a3	4410	d
2019	6903608d2dfb62fde38f9031a4b7cad4	4410	p
2019	15e41fd4f0faf1f4e3d070ab2ec145fb	4410	p
2019	5d13f66d412fc33286d686479823c14b	4410	p
2019	15e41fd4f0faf1f4e3d070ab2ec145fb	4410	p
2019	e19c5c6fd04d0d050ea0fb5ac8b9f404	4410	p
2019	f2c83d885faad4f2f38a76a8a1ed2833	4410	p
2019	32476d76eeca514904ae79e1e923497c	4410	p
2019	167fa57ef9c1f5162c026da5c3ba49ed	4410	p
2019	4a93c6ab449fa6f9ccacaee0c84984cb	4410	p
2019	4b83f8e8137497e25b92dd8924440101	4409	c
2019	e07a249e52c449f2693023af05846e22	4409	d
2019	925018a948fc96402045b42d5d71533b	4409	p
2019	7dc54d89a2faa8d0b9771fc49634a93e	4409	p
2019	c8d43076d4fe333b058b5b6e245f884a	4409	p
2019	71c7e8fcd3252947a587f852976fa9b6	4409	p
2019	0e5ff5cf5b09214e3effdd4d89c90bc7	4409	p
2019	8c982264b4d7fa3bd0946920729dbe34	4409	p
2019	6643dd91a4df791c7e2afdd2689f43d3	4409	p
2019	39744799df3e890665c2a73843abb8ea	4409	p
2019	c8fe0bcb85afb6561de0a0db5f42dea2	4409	p
2019	12f05adce49ce286a3d4fb1755d85336	4408	c
2019	896179ca99cee859ee861b0106f003c8	4408	d
2019	32b395e71e42f9e2f1208d5b996b39da	4408	p
2019	68afc1738222a731f892b6552584c1fc	4408	p
2019	f10c5fe66e41406dbe227509d01da516	4408	p
2019	2e3375ff8c959e1326c9f65bbf2c4590	4408	p
2019	e9653d0b3585035168cfa067bbe65cd2	4408	p
2019	34ca22feeeae281ea473a3631f3bd2f4	4408	p
2019	37dfa8ab815e30a1e851ba06a194b853	4408	p
2019	2c2d3e66f74585ef0690f4bf38c36095	4408	p
2019	e19c5c6fd04d0d050ea0fb5ac8b9f404	4408	p
2019	f2c83d885faad4f2f38a76a8a1ed2833	4408	p
2019	ebfeaf692d26cfbd0bac1b6930c70142	4408	p
2019	925018a948fc96402045b42d5d71533b	4407	c
2019	cd063c91f70f228dde5438110e89e672	4407	p
2019	90aa86c2f48a7c36d3f075a4c147b278	4407	p
2019	8c5fd64890abdc3ebc0297fadafd5354	4407	p
2019	8eaf036355586f84a2a30299c1f0709c	4407	p
2019	2dd04d25ce66f0cc465847b2d84fdcf7	4407	p
2019	3de22f8fb89231ee5e56ea54b20a82fa	4407	p
2019	7acca0d082a21c967de5ecb89b7eba69	4407	p
